,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est_Tpk,Max_response,Slope,Intercept,R_Squared,AIC,BIC,Delta_AIC,Delta_BIC,Best_Type,Rank,Corrected,Number_Of_Data_Points,Points_Before_Peak,Points_After_Peak,Number_Of_Variables,Tpk_std,Response_std,E_std,FinalID,OriginalID,Citation,Latitude,Longitude,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,OptimalConditions,ConLabGrowthTemp
6_Sch_TF_TKP,Desulfurobacterium crinifex,schoolfield_two_factor_tpk,Specific Growth Rate,-8.7857290287761,1.5067903967182399,335.40118672465815,4.696318036413071,NA,335.33060000000506,14.951371957450997,NA,NA,0.9831333174752732,2.1850138135103396,3.914564558786905,NA,NA,schoolfield_two_factor_tpk,1,False,7,4,3,4,0.5147278018527078,1.201926603884999,0.2765391427792516,6,Alain_2003_D_crinifex,"Alain, K., Rolland, S., Crassous, P., Lesongeur, F., Zbinden, M., Le Gall, C., ? Querellou, J. (2003). Desulfurobacterium crinifex sp. nov., a novel thermophilic, pinkish-streamer forming, chemolithoautotrophic bacterium isolated from a Juan de Fuca Ridge hydrothermal vent and amendment of the genus Desulfurobacterium. Extremophiles, 7(5), 361-370.",45.59,-130.01,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,crinifex,True,60.0
3_Sch_TF_TKP,Lactobacillus acidophilus,schoolfield_two_factor_tpk,Specific Growth Rate,-0.19660851060205603,0.5054005952223923,314.8874655355161,5.443497245625811,NA,314.78610000000236,12.81837957745638,NA,NA,0.9800847217191079,-15.181419908630708,-10.356673121323025,NA,NA,schoolfield_two_factor_tpk,1,False,13,6,7,4,0.2529265506031921,0.27011232839066646,0.11321702811753621,3,K_Adamberg_Lactobacillus_acidophilus_growth,"2001, Adamberg, K et al, 'The effect of temperature and pH on the growth of lactic acid bacteria: a pH-auxostat study', International Journal of Food Microbiology 85 (171 - 183)",NA,NA,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,True,NA
2_Sch_TF_TKP,Lactobacillus delbrueckii,schoolfield_two_factor_tpk,Specific Growth Rate,-6.834464526291616,1.8573731052067777,317.26024451074136,3.216814009194084,NA,317.15980000000314,26.35665769761063,NA,NA,0.9789025112426352,1.4114623169911225,7.577529037272202,NA,NA,schoolfield_two_factor_tpk,1,False,17,10,7,4,0.22067711707384194,0.6661863139100859,0.19703435547226347,2,K_Adamberg_Lactobacillus_delbrueckii_growth,"2001, Adamberg, K et al, 'The effect of temperature and pH on the growth of lactic acid bacteria: a pH-auxostat study', International Journal of Food Microbiology 85 (171 - 183)",NA,NA,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,True,NA
4_Sch_TF_TKP,Lactobacillus paracasei,schoolfield_two_factor_tpk,Specific Growth Rate,-1.88189762806499,0.9471659493100932,307.2115696786626,2.082623544474587,NA,307.10125000000744,7.181525743164685,NA,NA,0.995179022020969,-123.43012936048498,-113.37553979726385,NA,NA,schoolfield_two_factor_tpk,1,False,37,29,8,4,0.15155114648200602,0.08242324698929063,0.035995434826385106,4,K_Adamberg_Lactobacillus_paracasei_growth,"2001, Adamberg, K et al, 'The effect of temperature and pH on the growth of lactic acid bacteria: a pH-auxostat study', International Journal of Food Microbiology 85 (171 - 183)",NA,NA,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,True,NA
1_Sch_TF_TKP,Lactococcus lactis,schoolfield_two_factor_tpk,Specific Growth Rate,0.02270311688889587,0.6497042401684785,309.71708655093664,4.407574138720739,NA,309.5722000000071,22.6627499499881,NA,NA,0.986158870853959,-5.373650070450742,3.9550294435478914,NA,NA,schoolfield_two_factor_tpk,1,False,32,27,5,4,0.22056833408271037,0.4056027409683802,0.026836913688142797,1,K_Adamberg_Lactococcus_lactis_growth,"2001, Adamberg, K et al, 'The effect of temperature and pH on the growth of lactic acid bacteria: a pH-auxostat study', International Journal of Food Microbiology 85 (171 - 183)",NA,NA,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,True,NA
5_Sch_TF_TKP,Marinitoga piezophila,schoolfield_two_factor_tpk,Specific Growth Rate,-1.538337097077745,0.6679634207149143,340.03899575805144,8.115174863578419,NA,339.9238000000072,52.242950364306566,NA,NA,0.9461194315725457,29.49474115925785,31.891948867657028,NA,NA,schoolfield_two_factor_tpk,1,False,8,6,2,4,1.4914751280091212,486.1935750379791,0.1391692490345136,5,Alain_2002_M_piezophila ,"Alain, K. et al 2002, Marinitoga piezophila sp. nov., a rod-shaped, thermo-piezophilic bacterium isolated under high hydrostatic pressure from a deep-sea hydrothermal vent, International Journal of Systematic and Evolutionary Microbiology 52 (1331-1339)",12.48,-103.56,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Marinitoga,piezophila,True,NA
7_Sch_TF_TKP,Pseudothermotoga lettingae,schoolfield_two_factor_tpk,Specific Growth Rate,-7.487098701522496,1.161229503726389,337.6694244912842,5.051645850118219,NA,337.5284000000055,5.336977513219332,NA,NA,0.9830684693055797,-13.900355778248262,-11.503148069849082,NA,NA,schoolfield_two_factor_tpk,1,False,8,5,3,4,0.7367423158745849,0.43972861914532285,0.20914271707871337,7,Balk_T_lettingae,"2002, Balk, M et al, 'Thermotoga lettingae sp. nov., a novel thermophilic, methanol-degrading bacterium isolated from a thermophilic anaerobic reactor', International Journal of Systematic and Evolutionary Microbiology , 52, (1361-1368)",NA,NA,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,lettingae,True,62.0
0_Sch_TF_TKP,Streptococcus salivarius,schoolfield_two_factor_tpk,Specific Growth Rate,-1.9666237916883842,1.0148100527706843,319.2714011768008,3.323277345927078,NA,319.21560000000477,49.16095671094082,NA,NA,0.9873987995538996,25.200252901404603,32.65546516819619,NA,NA,schoolfield_two_factor_tpk,1,False,22,17,5,4,0.18491811701403285,0.9783327847913236,0.06218005227237889,0,K_Adamberg_Streptococcus_salivarius_growth,"2001, Adamberg, K et al, 'The effect of temperature and pH on the growth of lactic acid bacteria: a pH-auxostat study', International Journal of Food Microbiology 85 (171 - 183)",NA,NA,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,True,NA
10_Sch_TF_TKP,Sulfobacillus thermotolerans,schoolfield_two_factor_tpk,Specific Growth Rate,-4.939911593512379,1.576724986700406,312.1168719385297,2.1128471688484893,NA,312.05240000000543,7.76020848773497,NA,NA,0.9730067482622162,-9.34462756860248,-6.3585046819213815,NA,NA,schoolfield_two_factor_tpk,1,False,9,4,5,4,0.9356240911821361,0.5345476362641941,0.30905357338464196,10,Bogdanova_2006_S_thermotolerans,"Bogdanova, T. I., Tsaplina, I. A., Kondrat&apos;eva, T. F., Duda, V. I., Suzina, N. E., Melamud, V. S., ? Karavaiko, G. I. (2006). Sulfobacillus thermotolerans sp. nov,. a thermotolerant, chemolithotrophic bacterium. International Journal of Systematic and Evolutionary Microbiology, 56(5), 1039-1042.",NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Sulfobacillus,thermotolerans,True,40.0
8_Sch_TF_TKP,Thermotoga sp.,schoolfield_two_factor_tpk,Specific Growth Rate,-4.308367352475033,0.7102196442652431,362.03867378036625,8.708175390203515,NA,361.95000000000994,20.33304843343778,NA,NA,0.9763035186841172,11.471951932438724,15.461428296430578,NA,NA,schoolfield_two_factor_tpk,1,False,11,6,5,4,0.6014612539475543,1.1219396480664299,0.0971711412488448,8,Belkin_Thermotoga,"1985, Belkin, S. & Jannasch, H., M et al, 'A new extremely thermophilie, sulfur-reducing heterotrophie, marine bacterium', Arch Microbiol 141 (181-186)",40.7353,14.2753,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,NA,True,75.0
