"","Species_original","Species_standardised","Reference","Trait_value","Temperature","unique_id"
"1","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0,15,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"2","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.166,17,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"3","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.166,18,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"4","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.227,19,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"5","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.366,22,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"6","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.401,23,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"7","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.443,24,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"8","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.498,25,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"9","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.435,26,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"10","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.471,27,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"11","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.429,28,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"12","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.435,29,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"13","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.449,30,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"14","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.429,31,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"15","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0,33,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"16","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0,15,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"17","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.17,17,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"18","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.17,18,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"19","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.23,19,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"20","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.37,22,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"21","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.4,23,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"22","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.44,24,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"23","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.5,25,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"24","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.44,26,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"25","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.47,27,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"26","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.43,28,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"27","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.44,29,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"28","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.45,30,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"29","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.43,31,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"30","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0,33,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"31","Botryococcus braunii strain CHN 357, UTEX 572","Botryococcus braunii","Qin & Li (2006)",0.087,20,"   0.040 52.230Botryococcus brauniiQin & Li (2006)"
"32","Botryococcus braunii strain CHN 357, UTEX 572","Botryococcus braunii","Qin & Li (2006)",0.095,23,"   0.040 52.230Botryococcus brauniiQin & Li (2006)"
"33","Botryococcus braunii strain CHN 357, UTEX 572","Botryococcus braunii","Qin & Li (2006)",0.082,25,"   0.040 52.230Botryococcus brauniiQin & Li (2006)"
"34","Botryococcus braunii strain CHN 357, UTEX 572","Botryococcus braunii","Qin & Li (2006)",0.077,27,"   0.040 52.230Botryococcus brauniiQin & Li (2006)"
