"","unique_id","Species_standardised","Reference","Trait_value","Temperature","T_pk","B0_value","E_value","ED_value"
"1","Actinocyclus octonarius-:-Baars (1981)-:- 51.395-:-   3.557","Actinocyclus octonarius","Baars (1981)",0,6,303.15,0.26,0.373023601424815,0.746047202849629
"2","Actinocyclus octonarius-:-Baars (1981)-:- 51.395-:-   3.557","Actinocyclus octonarius","Baars (1981)",0.26,12,303.15,0.26,0.373023601424815,0.746047202849629
"3","Actinocyclus octonarius-:-Baars (1981)-:- 51.395-:-   3.557","Actinocyclus octonarius","Baars (1981)",0.55,20,303.15,0.26,0.373023601424815,0.746047202849629
"4","Actinocyclus octonarius-:-Baars (1981)-:- 51.395-:-   3.557","Actinocyclus octonarius","Baars (1981)",0.41,26,303.15,0.26,0.373023601424815,0.746047202849629
"5","Actinocyclus octonarius-:-Baars (1981)-:- 51.395-:-   3.557","Actinocyclus octonarius","Baars (1981)",0.79,30,303.15,0.26,0.373023601424815,0.746047202849629
"6","Actinoptychus senarius-:-Baars (1981)-:- 51.395-:-   3.557","Actinoptychus senarius","Baars (1981)",0,0,303.15,0.14,0.479003597575771,0.958007195151542
"7","Actinoptychus senarius-:-Baars (1981)-:- 51.395-:-   3.557","Actinoptychus senarius","Baars (1981)",0.14,6,303.15,0.14,0.479003597575771,0.958007195151542
"8","Actinoptychus senarius-:-Baars (1981)-:- 51.395-:-   3.557","Actinoptychus senarius","Baars (1981)",0.35,12,303.15,0.14,0.479003597575771,0.958007195151542
"9","Actinoptychus senarius-:-Baars (1981)-:- 51.395-:-   3.557","Actinoptychus senarius","Baars (1981)",0.38,16,303.15,0.14,0.479003597575771,0.958007195151542
"10","Actinoptychus senarius-:-Baars (1981)-:- 51.395-:-   3.557","Actinoptychus senarius","Baars (1981)",0.57,20,303.15,0.14,0.479003597575771,0.958007195151542
"11","Actinoptychus senarius-:-Baars (1981)-:- 51.395-:-   3.557","Actinoptychus senarius","Baars (1981)",0.73,30,303.15,0.14,0.479003597575771,0.958007195151542
"12","Acutodesmus acuminatus-:-Lï¿½rling et al. (2013)-:- 55.700-:-  13.200","Acutodesmus acuminatus","Lï¿½rling et al. (2013)",0.58,20,300.65,0.58,0.365123925158322,0.730247850316643
"13","Acutodesmus acuminatus-:-Lï¿½rling et al. (2013)-:- 55.700-:-  13.200","Acutodesmus acuminatus","Lï¿½rling et al. (2013)",0.65,25,300.65,0.58,0.365123925158322,0.730247850316643
"14","Acutodesmus acuminatus-:-Lï¿½rling et al. (2013)-:- 55.700-:-  13.200","Acutodesmus acuminatus","Lï¿½rling et al. (2013)",0.86,27.5,300.65,0.58,0.365123925158322,0.730247850316643
"15","Acutodesmus acuminatus-:-Lï¿½rling et al. (2013)-:- 55.700-:-  13.200","Acutodesmus acuminatus","Lï¿½rling et al. (2013)",0.62,30,300.65,0.58,0.365123925158322,0.730247850316643
"16","Acutodesmus acuminatus-:-Lï¿½rling et al. (2013)-:- 55.700-:-  13.200","Acutodesmus acuminatus","Lï¿½rling et al. (2013)",0.74,32.5,300.65,0.58,0.365123925158322,0.730247850316643
"17","Acutodesmus acuminatus-:-Lï¿½rling et al. (2013)-:- 55.700-:-  13.200","Acutodesmus acuminatus","Lï¿½rling et al. (2013)",0.67,35,300.65,0.58,0.365123925158322,0.730247850316643
"18","Acutodesmus obliquus-:-Dauta (1982a)-:-NA-:-NA","Acutodesmus obliquus","Dauta (1982a)",0.79,15,303.15,0.79,0.353663774410232,0.707327548820464
"19","Acutodesmus obliquus-:-Dauta (1982a)-:-NA-:-NA","Acutodesmus obliquus","Dauta (1982a)",1.367,20,303.15,0.79,0.353663774410232,0.707327548820464
"20","Acutodesmus obliquus-:-Dauta (1982a)-:-NA-:-NA","Acutodesmus obliquus","Dauta (1982a)",1.53,26,303.15,0.79,0.353663774410232,0.707327548820464
"21","Acutodesmus obliquus-:-Dauta (1982a)-:-NA-:-NA","Acutodesmus obliquus","Dauta (1982a)",1.68,30,303.15,0.79,0.353663774410232,0.707327548820464
"22","Acutodesmus obliquus-:-Dauta (1982a)-:-NA-:-NA","Acutodesmus obliquus","Dauta (1982a)",1.587,33,303.15,0.79,0.353663774410232,0.707327548820464
"23","Acutodesmus obliquus-:-Derraz et al. (1995)-:- 34.000-:-  -5.900","Acutodesmus obliquus","Derraz et al. (1995)",0,15,303.15,0.44,1.04733137582641,2.09466275165281
"24","Acutodesmus obliquus-:-Derraz et al. (1995)-:- 34.000-:-  -5.900","Acutodesmus obliquus","Derraz et al. (1995)",0.44,20,303.15,0.44,1.04733137582641,2.09466275165281
"25","Acutodesmus obliquus-:-Derraz et al. (1995)-:- 34.000-:-  -5.900","Acutodesmus obliquus","Derraz et al. (1995)",1.3,25,303.15,0.44,1.04733137582641,2.09466275165281
"26","Acutodesmus obliquus-:-Derraz et al. (1995)-:- 34.000-:-  -5.900","Acutodesmus obliquus","Derraz et al. (1995)",1.72,30,303.15,0.44,1.04733137582641,2.09466275165281
